catalog_id,priority,domain,dataset,publisher,signal_or_proxy,geography,time_grain,history,access,status,recommended_use,join_key,known_bias,url
M01,P0,mobility_activity,Parking meter transactions daily,City of San Diego,Paid parking activity,Downtown meter and City parking area,day x meter,2021-present,direct CSV,integrated_source_J,Daily and monthly downtown activity baseline,pole_id plus date,Not people or foot traffic; excludes every non-meter mode and changes with rates hours inventory and enforcement,https://data.sandiego.gov/datasets/parking-meters-transactions-daily/
M02,P0,mobility_activity,Parking meter locations,City of San Diego,Meter inventory and coordinates,meter,snapshot,current plus historic,direct CSV,integrated_source_J,Geocode parking activity and measure meter coverage,pole,Current file does not locate every historic meter,https://data.sandiego.gov/datasets/parking-meters-locations/
M03,P1,mobility_activity,Special events permits,City of San Diego,Event-driven visitation and disruption,event location,event,rolling,direct download,cataloged,Explain spikes in parking calls and street activity,date plus geocode,Permitted events omit informal activity and attendance is not measured,https://data.sandiego.gov/datasets/special-events/
M04,P1,mobility_activity,Static GTFS,San Diego MTS,Scheduled transit supply,stop route and trip,scheduled service day,current feed plus agency archives,GTFS zip,cataloged,Stops frequency service span and access to food or shelter,stop_id route_id date,Schedule is planned service not actual operations or riders,https://www.sdmts.com/business-center/app-developers
M05,P2,mobility_activity,GTFS real-time,San Diego MTS,Observed vehicle movement and service reliability,vehicle trip and stop,seconds,current,API key required,cataloged,Delay cancellation and service-disruption context,trip_id stop_id timestamp,Requires key and retention; vehicle positions are not ridership,https://www.sdmts.com/business-center/app-developers/real-time-data
M06,P1,mobility_activity,Average weekday transit ridership,SANDAG,Transit boardings,system route or geography,annual,2024 snapshot and related releases,Socrata download,cataloged,Transit-demand context and mobility substitution,route geography year,Average weekday aggregation hides daily variation and transfers can double count riders,https://opendata.sandag.org/Transportation/SOC-Average-Weekday-Transit-Ridership-SANDAG-2024/nsq3-ym99
M07,P1,mobility_activity,State of the Commute bicycle counts,SANDAG,Bicycle activity,eight monitored corridors,time series,2025 dashboard with Eco-Counter data,Socrata dashboard or export,cataloged,Independent active-mobility proxy for downtown activity,counter corridor timestamp,Only monitored corridors; weather outages and route changes affect comparability,https://opendata.sandag.org/stories/s/jwcm-wdyr
M08,P2,mobility_activity,FRED flexible-fleet ridership,SANDAG and service operators,Microtransit or circulator trips,service area,time series,program period,Socrata dashboard or export,cataloged,Downtown circulator demand and access context,service area date,Program boundaries pricing and service levels change demand,https://opendata.sandag.org/stories/s/Flexible-Fleets-Dashboard/nu5d-tkrh/
M09,P2,mobility_activity,Traffic average daily counts,City of San Diego,Motor-vehicle activity,count station,count observation,historical observations,direct download,cataloged,Traffic baseline and modal substitution,count location date,Irregular collection dates and roadworks make station comparisons difficult,https://data.sandiego.gov/datasets/traffic-adt-counts/
M10,P2,mobility_activity,Bicycle routes,City of San Diego,Bicycle network supply,line segment,current GIS,current,ArcGIS download,cataloged,Measure bike-network access around blocks food sites and shelters,spatial intersection,Infrastructure presence is not usage or safety,https://data.sandiego.gov/datasets/gis-bike-routes/
M11,P2,mobility_activity,Transit stops,City of San Diego,Transit access points,stop,current GIS,current,ArcGIS download,cataloged,Distance and density of stops by neighborhood or site,spatial join,Stop presence omits frequency reliability and accessibility,https://data.sandiego.gov/datasets/gis-transit-stops/
M12,P3,mobility_activity,Commercial footfall products,Placer.ai Replica and similar vendors,Modeled visits and movement,venue block or zone,hour day or month,vendor-dependent,licensed or restricted,cataloged_last_resort,Validate open-data activity proxies if a sponsor license exists,spatial plus date,Opaque models device bias privacy constraints and unstable licensing; never silently substitute for counts,https://www.placer.ai/
H01,P0,homelessness,HMIS monthly entries and exits,Regional Task Force on Homelessness,Homeless-system inflow and outflow,Continuum of Care and program,month,recent monthly history,download or dashboard,cataloged,Leading indicator for system pressure and exits,month program geography,HMIS covers participating services not everyone experiencing homelessness,https://www.rtfhsd.org/reports-data/
